(70.45, 0.00, 22.52)(0.00, 207.65, 0.00)
(70.94, 0.00, 23.46)(0.00, 207.65, 0.00)
(69.83, 0.00, 23.46)(0.00, 207.65, 0.00)
(55.89, 0.00, 37.09)(0.00, 0.00, 0.00)
(56.38, 0.00, 38.03)(0.00, 0.00, 0.00)
(55.27, 0.00, 38.03)(0.00, 0.00, 0.00)
(34.00, 0.00, 52.27)(0.00, 0.00, 0.00)
(34.49, 0.00, 53.21)(0.00, 0.00, 0.00)
(33.38, 0.00, 53.21)(0.00, 0.00, 0.00)
(19.09, 0.00, 44.37)(0.00, 0.00, 0.00)
(19.58, 0.00, 45.31)(0.00, 0.00, 0.00)
(18.47, 0.00, 45.31)(0.00, 0.00, 0.00)
(48.20, 0.00, 41.73)(0.00, 180.00, 0.00)
(48.69, 0.00, 42.67)(0.00, 180.00, 0.00)
(47.58, 0.00, 42.67)(0.00, 180.00, 0.00)
(62.68, 0.00, 9.58)(0.00, 156.88, 0.00)
(63.17, 0.00, 10.52)(0.00, 156.88, 0.00)
(62.06, 0.00, 10.52)(0.00, 156.88, 0.00)
(55.44, 0.00, 1.22)(0.00, 152.75, 0.00)
(58.00, 0.00, 1.22)(0.00, 152.75, 0.00)
(47.25, 0.00, -3.33)(0.00, 268.75, 0.00)
(49.81, 0.00, -3.33)(0.00, 268.75, 0.00)
(48.68, 0.00, -3.33)(0.00, 268.75, 0.00)
(49.17, 0.00, -2.39)(0.00, 268.75, 0.00)
(48.06, 0.00, -2.39)(0.00, 268.75, 0.00)
(43.02, 0.00, 2.04)(0.00, 206.65, 0.00)
(43.51, 0.00, 2.98)(0.00, 206.65, 0.00)
(42.40, 0.00, 2.98)(0.00, 206.65, 0.00)
(32.44, 0.00, -3.66)(0.00, 262.26, 0.00)
(32.93, 0.00, -2.72)(0.00, 262.26, 0.00)
(31.82, 0.00, -2.72)(0.00, 262.26, 0.00)
(24.89, 0.00, -1.07)(0.00, 249.52, 0.00)
(25.38, 0.00, -0.13)(0.00, 249.52, 0.00)
(24.27, 0.00, -0.13)(0.00, 249.52, 0.00)
(15.64, 0.00, -3.18)(0.00, 0.00, 0.00)
(15.02, 0.00, -2.24)(0.00, 0.00, 0.00)
(16.13, 0.00, -2.24)(0.00, 0.00, 0.00)
(9.06, 0.00, 2.00)(0.00, 180.00, 0.00)
(9.55, 0.00, 2.94)(0.00, 180.00, 0.00)
